+--------------------------------------------------------+---------+----------+-----------+------------+---------+------------+
|                         Domain                         | Verdict | Harmless | Malicious | Suspicious | Timeout | Undetected |
|                o80433.ingest.sentry.io                 |  Benign |    72    |     0     |     0      |    0    |     18     |
|                   www.loyalbooks.com                   |  Benign |    73    |     0     |     0      |    0    |     16     |
|               diagnostics.omgservice.com               |  Benign |    83    |     0     |     0      |    0    |     10     |
|           p1prod.cardinalsupportconnect.com            |  Malign |    67    |     2     |     0      |    0    |     21     |
|                      solnicka.sk                       |  Malign |    76    |     1     |     0      |    0    |     13     |
|                  intouchservices.com                   |  Benign |    73    |     0     |     0      |    0    |     17     |
|                   edoardocolombo.eu                    |  Benign |    74    |     0     |     0      |    0    |     16     |
|                     torrentsmd.me                      |  Malign |    71    |     2     |     0      |    0    |     17     |
|                       yggnode.cf                       |  Malign |    71    |     1     |     0      |    0    |     18     |
|                     catpitaqmi.net                     |  Malign |    65    |     5     |     0      |    0    |     20     |
|                   gpvjyx.ssptp4.com                    |  Benign |    71    |     0     |     0      |    0    |     19     |
|                      avt-usa.net                       |  Benign |    70    |     0     |     0      |    0    |     20     |
|               www.studiumarteterapie.cz                |  Benign |    58    |     0     |     0      |    0    |     9      |
|                       toubiz.de                        |  Benign |    73    |     0     |     0      |    0    |     17     |
|                    bihamcurchef.cam                    |  Malign |    67    |     3     |     0      |    0    |     20     |
|                 bankinformation.1c.ru                  |  Benign |    72    |     0     |     0      |    0    |     18     |
|                  laocaifengxitong.cc                   |  Malign |    69    |     1     |     0      |    0    |     20     |
|                24.winprizes524.digital                 |  Malign |    75    |     1     |     0      |    0    |     14     |
|           update.chupdatebrowserhosting.com            |  Benign |    81    |     0     |     0      |    0    |     12     |
|                    takungpao.com.hk                    |  Benign |    72    |     0     |     0      |    0    |     18     |
|                  makeawesomeapps.com                   |  Malign |    71    |     0     |     1      |    0    |     18     |
|           st-fakesysupgrade.fakevivo.com.cn            |  Benign |    69    |     0     |     0      |    0    |     21     |
|                tag.contactatonce.co.uk                 |  Benign |    83    |     0     |     0      |    0    |     10     |
|                    seagateshare.com                    |  Benign |    72    |     0     |     0      |    0    |     18     |
|                   www.blogpeople.net                   |  Benign |    84    |     0     |     0      |    0    |     9      |
|                       dinoyy.xyz                       |  Benign |    73    |     0     |     0      |    0    |     17     |
|                     img.tpttzy.com                     |  Benign |    71    |     0     |     0      |    0    |     18     |
|                    forum.pcefans.cz                    |  Benign |    78    |     0     |     0      |    0    |     10     |
|                  sso.manpower.gov.om                   |  Benign |    84    |     0     |     0      |    0    |     9      |
|                  api.tinyhoneybee.com                  |  Benign |    72    |     0     |     0      |    0    |     17     |
|                www.cumonprintedpics.com                |  Benign |    73    |     0     |     0      |    0    |     17     |
|                    network-host.cf                     |  Benign |    69    |     0     |     0      |    0    |     21     |
|      custom31335cd6e175f688.dot.cleanbrowsing.org      |  Benign |    72    |     0     |     0      |    0    |     18     |
|                     mp3nhacvui.net                     |  Benign |    70    |     0     |     0      |    0    |     20     |
|                api-player.globalsun.io                 |  Benign |    72    |     0     |     0      |    0    |     18     |
|                 call.easy2convert4.me                  |  Malign |    78    |     1     |     0      |    0    |     12     |
|                   preview.page.link                    |  Benign |    72    |     0     |     0      |    0    |     18     |
|               cpestatus.seagateshare.com               |  Benign |    84    |     0     |     0      |    0    |     9      |
|                  indigolbs.dinoyy.xyz                  |  Malign |    77    |     1     |     1      |    0    |     9      |
|                    escambiak12.edu                     |  Benign |    71    |     0     |     0      |    0    |     19     |
|              as-2314255.cdn.beampulse.com              |  Benign |    59    |     0     |     0      |    0    |     6      |
|              facebookcb.digitaldevs.co.uk              |  Benign |    78    |     0     |     0      |    0    |     12     |
|                  tsapi.storyxpress.co                  |  Benign |    72    |     0     |     0      |    0    |     17     |
|       60493198aa70ac43b4249ef4.endpoint.csper.io       |  Benign |    80    |     0     |     0      |    0    |     8      |
|                 cdn19215987.ahacdn.me                  |  Benign |    79    |     0     |     0      |    0    |     9      |
|                 static.doubleclick.ne                  |  Benign |    70    |     0     |     0      |    0    |     20     |
|                velocitysitemetrics.com                 |  Benign |    71    |     0     |     0      |    0    |     19     |
|                     wifihotspot.hu                     |  Benign |    58    |     0     |     0      |    0    |     8      |
|                   shive-hattery.int                    |  Benign |    71    |     0     |     0      |    0    |     19     |
|                smartstreet.shopinet.xyz                |  Malign |    71    |     0     |     1      |    0    |     18     |
|                    ipungpurbaya.net                    |  Benign |    81    |     0     |     0      |    0    |     12     |
|           cygnetinfotechmanagedservices.com            |  Benign |    79    |     0     |     0      |    0    |     9      |
|    accounts-account-service-prod.hydra.prod.wwrk.co    |  Benign |    71    |     0     |     0      |    0    |     19     |
|                     520camera.com                      |  Benign |    74    |     0     |     0      |    0    |     16     |
|                    cdn.mypanel.link                    |  Malign |    82    |     0     |     1      |    0    |     10     |
|                     lt.logly.co.jp                     |  Benign |    72    |     0     |     0      |    0    |     17     |
|                   stat.speed-app.com                   |  Benign |    81    |     0     |     0      |    0    |     11     |
|                  api.html5media.info                   |  Benign |    73    |     0     |     0      |    0    |     17     |
|                      wmkankan.com                      |  Benign |    73    |     0     |     0      |    0    |     17     |
|                   adtaginformer.com                    |  Benign |    72    |     0     |     0      |    0    |     18     |
|                    androidevlog.com                    |  Benign |    75    |     0     |     0      |    0    |     11     |
|                   addresseepaper.com                   |  Malign |    72    |     2     |     0      |    0    |     16     |
|                    deeponlines.com                     |  Malign |    66    |     4     |     0      |    0    |     20     |
|               services.keepersecurity.eu               |  Benign |    72    |     0     |     0      |    0    |     18     |
|                 raisingteenstoday.com                  |  Benign |    72    |     0     |     0      |    0    |     18     |
|                    bbzt.ekesoo.com                     |  Malign |    70    |     0     |     1      |    0    |     19     |
|                      nypd520.com                       |  Benign |    72    |     0     |     0      |    0    |     18     |
|                     legitville.com                     |  Malign |    64    |     6     |     1      |    0    |     19     |
|                  up.surfsharking.com                   |  Benign |    77    |     0     |     0      |    0    |     12     |
|                   farehitchlower.icu                   |  Malign |    68    |     1     |     1      |    0    |     20     |
|                    rock.fotapro.com                    |  Malign |    69    |     2     |     0      |    0    |     19     |
|                       mk-beta.ru                       |  Benign |    83    |     0     |     0      |    0    |     10     |
|                     hkoptimize.com                     |  Malign |    71    |     2     |     0      |    0    |     17     |
|                 www.adtaginformer.com                  |  Malign |    72    |     1     |     0      |    0    |     16     |
|                     johnrosen1.com                     |  Benign |    70    |     0     |     0      |    0    |     20     |
|               www.vysocinaconvention.cz                |  Benign |    60    |     0     |     0      |    0    |     8      |
|                  www.qqgametimes.com                   |  Benign |    84    |     0     |     0      |    0    |     9      |
|                  checkmytrip.app.link                  |  Benign |    71    |     0     |     0      |    0    |     19     |
|                      theplace.bz                       |  Malign |    72    |     0     |     1      |    0    |     17     |
|                     natureapi.com                      |  Malign |    81    |     2     |     0      |    0    |     9      |
|                  rentreediscount.com                   |  Benign |    72    |     0     |     0      |    0    |     18     |
|                    nasscom-live.com                    |  Benign |    71    |     0     |     0      |    0    |     19     |
|                tracker.fastdownload.xyz                |  Malign |    77    |     0     |     1      |    0    |     12     |
|             mailstream-central.mxrecord.mx             |  Benign |    70    |     0     |     0      |    0    |     20     |
+--------------------------------------------------------+---------+----------+-----------+------------+---------+------------+
