Domain: static.amp.services, Feature: dns_dn_level, SHAP Value: 2.00
Domain: a.antlauncher.com, Feature: dns_zone_entropy, SHAP Value: 0.30
Domain: skyworthdigital.sjxrbj.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: rplnd5.com, Feature: rdap_registrant_name_hash, SHAP Value: 0.00
Domain: tracker.sylphix.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: nutrien-iksmedia-ccm.net, Feature: rdap_registrant_name_hash, SHAP Value: 0.00
Domain: o80433.ingest.sentry.io, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: www.loyalbooks.com, Feature: rdap_registrant_name_hash, SHAP Value: 0.00
Domain: diagnostics.omgservice.com, Feature: rdap_registrant_name_hash, SHAP Value: 0.00
Domain: p1prod.cardinalsupportconnect.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: solnicka.sk, Feature: rdap_domain_active_time, SHAP Value: nan
Domain: intouchservices.com, Feature: rdap_domain_active_time, SHAP Value: 851990400000000000.00
Domain: edoardocolombo.eu, Feature: rdap_domain_active_time, SHAP Value: 820368000000000000.00
Domain: torrentsmd.me, Feature: rdap_time_from_last_change, SHAP Value: 400056294000000000.00
Domain: yggnode.cf, Feature: rdap_registrant_name_hash, SHAP Value: 1945011970.00
Domain: catpitaqmi.net, Feature: tls_root_cert_lifetime, SHAP Value: 5078.00
Domain: gpvjyx.ssptp4.com, Feature: rdap_domain_age, SHAP Value: nan
Domain: avt-usa.net, Feature: rdap_domain_active_time, SHAP Value: nan
Domain: www.studiumarteterapie.cz, Feature: rdap_domain_active_time, SHAP Value: 126230400000000000.00
Domain: toubiz.de, Feature: rdap_time_from_last_change, SHAP Value: 119538305000000000.00
Domain: bihamcurchef.cam, Feature: rdap_registrar_name_hash, SHAP Value: 1757849580.00
Domain: bankinformation.1c.ru, Feature: tls_root_cert_lifetime, SHAP Value: 9097.00
Domain: laocaifengxitong.cc, Feature: tls_root_cert_lifetime, SHAP Value: 7150.00
Domain: 24.winprizes524.digital, Feature: tls_root_cert_lifetime, SHAP Value: 5951.00
Domain: update.chupdatebrowserhosting.com, Feature: tls_root_cert_lifetime, SHAP Value: 5078.00
Domain: takungpao.com.hk, Feature: tls_root_cert_lifetime, SHAP Value: 5078.00
Domain: makeawesomeapps.com, Feature: tls_root_cert_lifetime, SHAP Value: 5078.00
Domain: st-fakesysupgrade.fakevivo.com.cn, Feature: tls_root_cert_lifetime, SHAP Value: 5077.00
Domain: tag.contactatonce.co.uk, Feature: tls_root_cert_lifetime, SHAP Value: 5077.00
Domain: seagateshare.com, Feature: tls_root_cert_lifetime, SHAP Value: 4925.00
Domain: www.blogpeople.net, Feature: tls_root_cert_lifetime, SHAP Value: 3264.00
Domain: dinoyy.xyz, Feature: tls_root_cert_lifetime, SHAP Value: 2986.00
Domain: img.tpttzy.com, Feature: tls_root_cert_lifetime, SHAP Value: 2885.00
Domain: forum.pcefans.cz, Feature: tls_root_cert_lifetime, SHAP Value: 2763.00
Domain: sso.manpower.gov.om, Feature: tls_root_cert_lifetime, SHAP Value: 2723.00
Domain: api.tinyhoneybee.com, Feature: tls_root_cert_lifetime, SHAP Value: 2699.00
Domain: www.cumonprintedpics.com, Feature: tls_root_cert_lifetime, SHAP Value: 2273.00
Domain: network-host.cf, Feature: tls_root_cert_lifetime, SHAP Value: 1600.00
Domain: custom31335cd6e175f688.dot.cleanbrowsing.org, Feature: tls_root_cert_lifetime, SHAP Value: 1452.00
Domain: mp3nhacvui.net, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
